symbol,company,price,sector,avg_volume,market_cap,pe_ratio,week52high,week52low
ABCB,Ameris Bancorp,53.95,Financial Services,208118,2016284410,21.67,56.85,41.05
ADNT,Adient plc,63.66,Consumer Cyclical,1709750,5942785583,6.72,86.42,59.1
ACIW,ACI Worldwide Inc.,23.36,Industrials,588173,2770010673,32.44,25,19.55
ACIU,AC Immune SA,11.79,Healthcare,62124,671113233,-21.44,13.91,6.03
ACH,Aluminum Corporation of China Limited American Depositary Shares,15.56,Basic Materials,103549,9276124015,0,23.54,11.011
ACN,Accenture plc Class A (Ireland),161.44,Technology,2248673,102769962749,27.32,163.6,114.82
ACM,AECOM,35.13,Industrials,942171,5591611221,11.95,39.9,30.15
ACP,Aberdeen Income Credit Strategies Fund,13.99,Financial Services,72549,182906267,0,14.93,13.27
ACV,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,21.84,Financial Services,49078,224405345,0,23.19,19.2448
ACT,AdvisorShares Vice ETF,25.72,,14479,15432000,0,29.5,24.4479
ABTX,Allegiance Bancshares Inc.,38.6,Financial Services,31743,508807598,24.43,41.45,31.75
ACIA,Acacia Communications Inc.,41.92,Technology,387835,1650697674,14.46,69.57,34.2
AAME,Atlantic American Corporation,3.9,Financial Services,2989,79713703,0,4.1,3
ADP,Automatic Data Processing Inc.,115.41,Industrials,2083424,51157751114,31.28,125.24,95.5
ACWI,iShares MSCI ACWI Index Fund,73.25,,3493145,8790000000,0,77.54,62.21
ACHV,Achieve Life Sciences Inc.,1.515,Healthcare,532071,18100729,-7.97,7.15,1.15
ABDC,Alcentra Capital Corp.,7.68,Financial Services,76039,109403290,5.15,14.73,7
ADC,Agree Realty Corporation,45.83,Real Estate,189741,1420390904,17.29,53.65,43.74
ACWX,iShares MSCI ACWI ex US Index Fund,50.5,,719514,3221900000,0,53.74,42.14
ADM,Archer-Daniels-Midland Company,42.57,Consumer Defensive,4006871,23807285782,17.45,47.44,38.59
ACHC,Acadia Healthcare Company Inc.,36.12,Healthcare,1296567,3173271996,15.77,54.34,26.92
ABLX,Ablynx NV,53.98,Healthcare,697179,4052062140,0,54.87,17.75
ABIO,ARCA biopharma Inc.,1.65,Healthcare,398263,19389112,-3.59,2.76,1.05
ABAC,Renmin Tianli Group Inc.,2.22,Consumer Defensive,11732,17723914,0,4.76,1.6
ACCO,Acco Brands Corporation,13.35,Industrials,614135,1422456170,11.31,14.75,10.35
ADBE,Adobe Systems Incorporated,202.98,Technology,2802764,99780609816,57.34,204.45,117.83
AAC,AAC Holdings Inc.,8.13,Healthcare,105188,195107537,12.51,13.0551,5.99
AAL,American Airlines Group Inc.,51.72,Industrials,5681144,24747972056,10.56,59.08,39.21
AAN,Aaron's Inc.,42.56,Industrials,806539,3088932491,16.62,48.2199,26.435
AAT,American Assets Trust Inc.,32.22,Real Estate,214767,1520931825,16.87,44.83,30.93
AAV,Advantage Oil & Gas Ltd,2.9,Energy,382530,539293239,29,7.35,2.75
AAP,Advance Auto Parts Inc W/I,105.35,Consumer Cyclical,1302091,7785158830,18.78,169.55,78.81
ABAX,ABAXIS Inc.,67.43,Healthcare,292421,1530526140,53.09,78.53,43.66
ADS,Alliance Data Systems Corporation,244.57,Financial Services,701636,13512166488,13.23,278.33,209
ADES,Advanced Emissions Solutions Inc.,8.75,Industrials,153285,184532863,5.57,12.2,7
ACST,Acasti Pharma Inc.,1.01,Healthcare,500915,25860656,-1.87,3.3565,0.84
ACSF,American Capital Senior Floating Ltd.,11.1,Financial Services,40043,111001110,0,14.1,10.35
AA,Alcoa Corporation,48.07,Basic Materials,4746576,8902598274,15.97,57.5,29.55
AC,Associated Capital Group Inc.,33.7,Financial Services,13967,798744426,0,39.35,32.2
ABC,AmerisourceBergen Corporation,99.94,Healthcare,2339109,21953728955,16.97,106.27,71.9
ADRU,BLDRS Europe 100 ADR Index Fund,22.89,,4223,17061000,0,24.65,19.87
ABG,Asbury Automotive Group Inc,67.95,Consumer Cyclical,227239,1414562851,10.53,76.4,49.1
AABA,Altaba Inc.,74.59,Financial Services,7348281,65145270092,0,80.56,44.95
ACBI,Atlantic Capital Bancshares Inc.,17.45,Financial Services,89971,448956846,32.31,19.85,15.2
ABM,ABM Industries Incorporated,36.71,Industrials,496528,2407584785,20.98,45.12,33.7
ADRA,BLDRS Asia 50 ADR Index Fund,35.64,,1260,23166000,0,37.7023,28.865
ABBV,AbbVie Inc.,117.98,Healthcare,7676700,188346780725,21.11,125.86,61.3
ABR,Arbor Realty Trust,8.39,Real Estate,454784,517685049,8.31,8.99,7.3299
ABT,Abbott Laboratories,59.12,Healthcare,7748508,102904312615,23.65,64.6,42.31
ADRD,BLDRS Developed Markets 100 ADR Index Fund,23.42,,6021,70260000,0,25.3105,20.56
ABX,Barrick Gold Corporation,12.85,Basic Materials,12914017,14990520592,17.36,20.365,12.6
ADRO,Aduro Biotech Inc.,6.1,Healthcare,511353,471552357,-4.49,14.05,5.825
ACRS,Aclaris Therapeutics Inc.,19.91,Healthcare,367941,613918459,-9.22,33.25,18.46
ACRX,AcelRx Pharmaceuticals Inc.,1.875,Industrials,378175,94384479,-1.67,5.75,1.55
ACHN,Achillion Pharmaceuticals Inc.,3.01,Healthcare,1960268,414951773,-6.27,5.66,2.58
ACRE,Ares Commercial Real Estate Corporation,12.65,Real Estate,141567,361663095,11,14.22,11.96
ABUS,Arbutus Biopharma Corporation,5.5,Healthcare,192053,305535973,-4.7,8.25,2.55
AGO,Assured Guaranty Ltd.,37.44,Financial Services,1157315,4397472107,35.66,45.729,32.97
AGN,Allergan plc,160.59,Healthcare,3246220,53409519547,9.8,256.8,156
AGM,Federal Agricultural Mortgage Corporation,80.02,Financial Services,46894,849655881,0,82.97,53.78
AGI,Alamos Gold Inc. Class A,5.37,Basic Materials,2305857,2089748238,89.5,8.58,5.01
AGD,Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest,10.93,Financial Services,62465,137166931,0,11.5499,9.405
AGC,Advent Claymore Convertible Securities and Income Fund of Beneficial Interest,5.75,Financial Services,195020,157362228,0,6.49,5.4
AGTC,Applied Genetic Technologies Corporation,3.725,Healthcare,107751,67440756,46.56,8.4,3.25
AGEN,Agenus Inc.,4.7,Healthcare,1410690,470859696,-4.02,5.45,3.2
AGX,Argan Inc.,40.5,Industrials,219209,629723120,8.9,72.9,37.8
AEHR,Aehr Test Systems,2.25,Technology,159756,49054583,-8.04,6.1,2.16
AGS,PlayAGS Inc.,19.74,Consumer Cyclical,302074,663832275,0,20.8,16.66
AGR,Avangrid Inc.,49.58,Utilities,605198,15320481386,21.94,53.46,41.33
AHL-D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,24.55,Financial Services,29429,1478047652,0,26.6,22.8984
AGLE,Aeglea BioTherapeutics Inc.,6.32,Healthcare,89902,105192121,-3.45,8.14,2.81
ADTN,ADTRAN Inc.,16.4,Technology,684242,789653292,20.25,25.1,15.65
AHC,A.H. Belo Corporation,5.15,Consumer Cyclical,38335,112028805,-85.83,6.45,4.35
AHH,Armada Hoffler Properties Inc.,13.23,Real Estate,377055,594529740,13.36,16.005,12.655
AHL,Aspen Insurance Holdings Limited,37.2,Financial Services,861926,2212432800,-5.59,57.55,35.05
AHP,Ashford Hospitality Prime Inc.,8.9,Real Estate,263928,285878226,5.33,13.83,8.44
AHT,Ashford Hospitality Trust Inc,5.82,Real Estate,484272,570525637,4.48,7.735,5.42
AEP,American Electric Power Company Inc.,66.37,Utilities,4241045,32646333580,18.13,78.07,63.32
AES,The AES Corporation,10.4,Utilities,11068098,6868020286,10.3,12.05,9.865
AER,Aercap Holdings N.V.,51.58,Industrials,1387958,8150459142,8.14,55.665,42.35
AET,Aetna Inc.,178.03,Healthcare,2899491,58068460088,18.11,194.4,124.84
AFMD,Affimed N.V.,2.075,Healthcare,1145820,92693080,-2.66,2.95,1.15
AEY,ADDvantage Technologies Group Inc.,1.36,Technology,23591,13907353,0,2.33,1.31
AEE,Ameren Corporation,55.08,Utilities,1892202,13364324674,19.39,64.89,51.89
AEG,AEGON N.V.,6.94,Financial Services,3437425,14261329217,8.26,7.02,4.73
AEM,Agnico Eagle Mines Limited,41.68,Basic Materials,1476593,9698904198,40.47,51.86,39.3
AEL,American Equity Investment Life Holding Company,32.15,Financial Services,634189,2871994447,10.21,35.7869,22.23
AEO,American Eagle Outfitters Inc.,18.37,Consumer Cyclical,3660066,3257146968,14.7,19.48,10.23
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,44.5,,13233,31150000,0,45.12,42.7526
AEGN,Aegion Corp,24.26,Industrials,120773,789100677,18.95,28.19,19.11
AFL,AFLAC Incorporated,88.92,Financial Services,2779463,34634340000,13.08,91.73,70.64
AGNC,AGNC Investment Corp.,18.83,Real Estate,4880652,7368101232,7.47,22.34,17.9399
AGM.A,Federal Agricultural Mortgage Corporation,78,Financial Services,294,791216478,0,80,50.6
AFH,Atlas Financial Holdings Inc.,18.15,Financial Services,28694,218357259,-19.73,21.5,12.15
AFI,Armstrong Flooring Inc.,14.76,Basic Materials,99535,379704041,61.5,22.96,13.32
AEIS,Advanced Energy Industries Inc.,67.32,Technology,521594,2669730446,15.51,95,60.85
AGFS,AgroFresh Solutions Inc.,7.81,Basic Materials,153489,393134953,0,9.05,2.61
AFG,American Financial Group Inc.,111.81,Financial Services,360275,9870027750,17.04,121.69,92.45
AFB,AllianceBernstein National Municipal Income Fund Inc,12.8,Financial Services,134424,367935181,0,14.22,12.61
AFC,Allied Capital Corporation 6.875% Notes due April 15 2047,25.42,Financial Services,13521,203360000,0,26.24,25.14
AHT-D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,25.35,Real Estate,13866,240031697,0,26,25.06
AFT,Apollo Senior Floating Rate Fund Inc.,16.22,Financial Services,70802,252595049,0,18.08,16.08
AHGP,Alliance Holdings GP L.P.,26.22,Basic Materials,117193,1569607860,8.22,32.31,22.71
ADVM,Adverum Biotechnologies Inc.,6.2,Healthcare,1797918,384275095,-5,8.59,2.4
AHP-B,Ashford Hospitality Prime Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share,18.7,Real Estate,6999,532422193,0,22.09,17.92
ADSW,Advanced Disposal Services Inc.,23.61,Industrials,329618,2089277090,42.16,25.71,20.94
AGII,Argo Group International Holdings Ltd.,59.15,Financial Services,164064,1750840000,-107.55,69.025,56.15
AGIO,Agios Pharmaceuticals Inc.,77.53,Healthcare,846172,4444542230,-11.5,82.96,45.11
AGYS,Agilysys Inc.,11.39,Technology,41334,265536847,-67,13,8.75
ADT,ADT Inc.,11.59,Industrials,6848022,8680323291,0,13.02,11.12
ADX,Adams Diversified Equity Fund Inc.,15.24,Financial Services,282216,1506216353,0,16.11,13.4601
AETI,American Electric Technologies Inc.,1.35,Industrials,34939,11704028,0,2.8,1.2
ADXS,Advaxis Inc.,2.59,Healthcare,890758,109515278,-1.12,10.06,2.43
AGZD,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund,48.11,,10572,28866000,0,48.65,47.78
AGRX,Agile Therapeutics Inc.,3.58,Healthcare,272957,122387104,-3.48,5.6,1.93
AGRO,Adecoagro S.A.,9.29,Consumer Defensive,599134,1136927061,66.36,12.9,8.3304
ADUS,Addus HomeCare Corporation,35.55,Healthcare,24591,413505477,24.02,40.75,29.9
AFAM,Almost Family Inc,57.35,Healthcare,162710,801060843,26.92,66.15,40.15
AGCO,AGCO Corporation,66.4,Industrials,836097,5282077371,21.99,75.95,58
AG,First Majestic Silver Corp. (Canada),5.55,Basic Materials,5078856,921028905,-555,10.02,4.93
AGNCB,AGNC Investment Corp. Depositary Shares representing 1/1000th Series B Preferred Stock,25.55,Real Estate,16916,8851799621,0,26.8685,25.05
AERI,Aerie Pharmaceuticals Inc.,54.2,Healthcare,385936,2125872129,-16.23,66.6,38.1375
AEZS,Aeterna Zentaris Inc.,1.88,Healthcare,801871,30908629,-0.98,3.75,0.7816
AHPA,Avista Healthcare Public Acquisition Corp.,9.91,Industrials,44685,379750000,0,10.07,9.28
AFSI,AmTrust Financial Services Inc.,13.05,Financial Services,1529897,2558146804,12.31,27.91,8.8
AEMD,Aethlon Medical Inc.,1.49,Technology,516774,24704686,-1.59,5.1701,0.7906
AKO.A,Embotelladora Andina S.A.,27.26,Consumer Defensive,8427,3483324536,0,28.25,20.1612
AKO.B,Embotelladora Andina S.A.,29.6,Consumer Defensive,31393,3750687750,27.66,31.07,22.27
ALLE,Allegion plc,85.66,Industrials,761492,8141352542,23.34,89.81,72.45
ALDX,Aldeyra Therapeutics Inc.,7.1,Healthcare,105292,135735500,-5.07,11.9,3.8
ALDW,Alon USA Partners LP representing Limited Partner Interests,16.55,Energy,228350,1034860378,1655,19.28,8.65
ALDR,Alder BioPharmaceuticals Inc.,13.85,Healthcare,2128379,939636505,-2.58,24.65,8.6
ALLT,Allot Communications Ltd.,5.33,Technology,77063,176499645,-14.81,6.09,4.54
ALLY,Ally Financial Inc.,28.7,Financial Services,3835480,12543449800,11.91,31.29,18.11
ALBO,Albireo Pharma Inc.,34.65,Healthcare,106712,386865552,0,39.8699,15.31
AKCA,Akcea Therapeutics Inc.,19.98,Healthcare,251744,1329501747,-111,31.23,8.1
ALIM,Alimera Sciences Inc.,1.26,Healthcare,156022,87126913,-4.5,1.72,1.03
ALEX,Alexander & Baldwin Inc. REIT Holding Company,23.31,Real Estate,489920,1675740445,0,46.96,21.78
AMCX,AMC Networks Inc.,53.47,Consumer Cyclical,721127,3307838137,7.68,67.61,46.89
AMCN,AirMedia Group Inc,1.07,Consumer Cyclical,640219,67211931,0,3.3,1.01
AKTS,Akoustis Technologies Inc.,6.75,Technology,115062,148561607,-20.45,14,4.91
ALRM,Alarm.com Holdings Inc.,38.63,Technology,471220,1821034154,42.92,49.49,27.05
ALRN,Aileron Therapeutics Inc.,7.69,Healthcare,24719,113187472,-8.74,15.48,7.3757
AKTX,Akari Therapeutics Plc,2.36,Healthcare,226728,36006362,-7.37,22.1998,2.06
AIPT,Precision Therapeutics Inc.,1.07,Healthcare,0,10885692,0,1.5,0.83
AJX,Great Ajax Corp.,12.96,Real Estate,39298,236545596,8.36,15.4,12.27
AMAG,AMAG Pharmaceuticals Inc.,19.3,Healthcare,1425441,682724781,-96.5,25.2,11.925
AKAM,Akamai Technologies Inc.,66.77,Technology,2090300,11350900000,35.71,69.56,44.65
AMAT,Applied Materials Inc.,56.66,Technology,15366029,59693132922,17.43,60.89,35.515
AMC,AMC Entertainment Holdings Inc. Class A,14.5,Consumer Cyclical,2076880,1870671274,-14.22,32.1,10.8
ALNA,Allena Pharmaceuticals Inc.,7.09,Healthcare,60305,146552101,0,15.4,6.15
AMD,Advanced Micro Devices Inc.,12.02,Technology,61047819,11596879208,200.33,15.65,9.7
ALNY,Alnylam Pharmaceuticals Inc.,120.83,Healthcare,920869,12067028691,-22.33,147.63,45
AKER,Akers Biosciences Inc,0.4101,Healthcare,21222844,12885568,0,2.9,0.122
AINV,Apollo Investment Corporation,5.41,Financial Services,1002060,1171393736,7.96,6.815,5.3
ALOG,Analogic Corporation,84.85,Healthcare,85443,1059330274,102.23,89.5,66
ALGT,Allegiant Travel Company,165.25,Industrials,183163,2627475000,17.32,178.2,111.5375
ALGN,Align Technology Inc.,255.45,Healthcare,1415451,20481394487,65.5,287.32,100.025
ALTR,Altair Engineering Inc.,26.15,Technology,225229,1644904873,0,28.9,16.55
AKS,AK Steel Holding Corporation,5.81,Basic Materials,24055438,1829479346,17.09,9.19,4
AKR,Acadia Realty Trust,22.77,Real Estate,709025,1905981863,14.88,32.89,21.34
AKP,Alliance California Municipal Income Fund Inc,12.84,Financial Services,29789,109841937,0,14.02,12.49
AIMT,Aimmune Therapeutics Inc.,34.96,Healthcare,437329,1788679841,-14.88,40.65,15.97
AIMC,Altra Industrial Motion Corp.,46.1,Industrials,148674,1349594188,23.17,53.7,36.5
AKBA,Akebia Therapeutics Inc.,13.62,Healthcare,274088,643805864,-4.31,20.25,8.5801
ALL,Allstate Corporation (The),93.65,Financial Services,2892303,33245750000,13.96,105.36,79.09
ALK,Alaska Air Group Inc.,64.39,Industrials,3408873,7919750237,9.71,101.43,59.25
ALG,Alamo Group Inc.,112.83,Industrials,56098,1312483015,26.18,120.585,70.53
ALE,Allete Inc.,68.74,Utilities,337391,3508466091,20.52,81.24,64.56
ALB,Albemarle Corporation,114.58,Basic Materials,2472302,12660591692,28.36,144.99,91.02
ALX,Alexander's Inc.,365.94,Real Estate,7806,1868961703,0,441.54,332.975
ALV,Autoliv Inc.,144.78,Consumer Cyclical,684526,12589076044,21.97,152.57,96.08
ALT,Altimmune Inc.,1.48,Healthcare,195374,23165907,0.13,10.8,1.34
ALCO,Alico Inc.,25.85,Consumer Defensive,5792,213245878,0,34.8,25.5
AIZ,Assurant Inc.,88.58,Financial Services,416847,4648271641,22.48,106.985,84.98
AIT,Applied Industrial Technologies Inc.,71.55,Industrials,328086,2767172138,25.19,75.35,54
AIV,Apartment Investment and Management Company,39.11,Real Estate,1201799,6141181811,15.96,46.855,38.19
AIR,AAR Corp.,42.66,Industrials,296424,1481555052,29.22,44.04,31.97
AIN,Albany International Corporation,64.85,Consumer Cyclical,131173,2088067278,150.81,67.15,43.45
AIG,American International Group Inc.,60.04,Financial Services,6858944,53975960000,26.8,67.3,57.85
AIF,Apollo Tactical Income Fund Inc.,15.52,Financial Services,78159,224481684,0,16.7699,15.37
AIA,iShares Asia 50 ETF,68.22,,190334,893682000,0,72.96,50.04
AMBR,Amber Road Inc.,9.89,Technology,204853,269132337,-21.04,10.2899,6.14
ALSN,Allison Transmission Holdings Inc.,39.24,Consumer Cyclical,1471938,5562691673,14.48,45.69,32.9301
ALSK,Alaska Communications Systems Group Inc.,2.19,Communication Services,117780,229720129,0,2.91,1.6
ALJJ,ALJ Regional Holdings Inc.,2.32,Basic Materials,60164,87976989,0,4.06,2.26
AMBA,Ambarella Inc.,49.23,Technology,1083462,1639679389,29.3,66.23,40.06
AMBC,Ambac Financial Group Inc.,15.84,Financial Services,407835,716778469,0,23.55,13.17
AKAO,Achaogen Inc.,10.75,Healthcare,1169243,455731297,-3.38,27.79,9.83
AKRX,Akorn Inc.,31.59,Healthcare,1377569,3950980917,0,34,20
ALOT,AstroNova Inc.,13.3,Technology,14449,89922617,27.71,15.65,11
AI,Arlington Asset Investment Corp Class A (new),11.23,Financial Services,632776,316879785,19.36,15.17,9.9
AM,Antero Midstream Partners LP representing limited partner interests,27.01,Energy,562737,5049102682,19.16,35.55,25.71
AL,Air Lease Corporation Class A,45.78,Industrials,630869,4726331503,11.33,50.7,34.42
ALXN,Alexion Pharmaceuticals Inc.,118.85,Healthcare,2210886,26346838787,23.44,149.34,96.18
AJRD,Aerojet Rocketdyne Holdings Inc.,26.95,Industrials,909473,2023945000,32.87,36.25,18.88
AJG,Arthur J. Gallagher & Co.,69.31,Financial Services,1235564,12574636060,22.65,70.55,54.5
ALKS,Alkermes plc,64.75,Healthcare,1104291,9972082750,-196.21,71.22,46.425
AIRG,Airgain Inc.,9.35,Technology,82536,89561200,42.5,16.23,7.31
AIRR,First Trust RBA American Industrial Renaissance ETF,26.35,,41608,210800053,0,28.404,22.38
AIRT,Air T Inc.,29.3,Industrials,3028,59853718,-14.58,34.8273,14.4
ALPN,Alpine Immune Sciences Inc.,9.7,Healthcare,11690,134651957,-2.25,14.52,7.2034
ANIK,Anika Therapeutics Inc.,60.1,Healthcare,86729,881172317,28.22,69.8069,41.64
ANFI,Amira Nature Foods Ltd,3.94,Consumer Defensive,161642,131070499,0,7.05,3.851
ANIP,ANI Pharmaceuticals Inc.,57.74,Healthcare,111515,672896359,17.24,74.7,42.23
AOD,Alpine Total Dynamic Dividend Fund,9.36,Financial Services,397338,1007073653,0,10.03,8.05
AMSF,AMERISAFE Inc.,58.05,Financial Services,73532,1117115535,16.88,69.3962,51.2
AMSC,American Superconductor Corporation,4.71,Technology,377660,98612182,-2.25,7.75,2.89
AOSL,Alpha and Omega Semiconductor Limited,14.52,Technology,103521,347726064,25.93,21.7,13.525
AOI,Alliance One International Inc.,21.95,Consumer Defensive,95750,197741514,1.17,22.4758,9.85
AOS,A.O. Smith Corporation,65.44,Industrials,1186053,11251068247,30.16,68.39,49.19
APEI,American Public Education Inc.,25.2,Consumer Defensive,76047,409948913,21,27.4,17.4
APEN,Apollo Endosurgery Inc.,6.44,Healthcare,51247,111349835,-0.18,14.09,3.55
APRN,Blue Apron Holdings Inc. Class A,3.39,Consumer Cyclical,2978043,644574820,-2.97,11,2.94
APRI,Apricus Biosciences Inc.,1.13,Healthcare,1641297,17193534,-1.22,3.41,0.86
ANAT,American National Insurance Company,118.28,Financial Services,10319,3185503240,0,134.03,110.4331
AMZN,Amazon.com Inc.,1468.35,Technology,6299047,710838782158,322.01,1498,833.5
AMRN,Amarin Corporation plc,3.7,Healthcare,2550889,1083856755,-16.82,4.6,2.85
AMRH,Ameri Holdings Inc.,2.51,Technology,688063,39799185,0,13.5,1.27
AMRK,A-Mark Precious Metals Inc.,10.78,Financial Services,18212,75799031,10.89,20.98,10.39
AMRB,American River Bankshares,15.38,Financial Services,10089,94315728,20.78,16.485,12.97
AMRC,Ameresco Inc. Class A,8.3,Industrials,79623,377679067,23.71,9.5,5
APH,Amphenol Corporation,90.36,Technology,1597812,27590440715,27.72,93.62,68.565
ANAB,AnaptysBio Inc.,121.03,Healthcare,312423,2843924210,-91,132.46,18.1501
AMKR,Amkor Technology Inc.,10.19,Technology,1059891,2438259165,17.88,12.48,8.32
APB,Asia Pacific Fund Inc. (The),14.4,Financial Services,5667,148954637,0,15.7052,10.6
APC,Anadarko Petroleum Corporation,59.25,Energy,6159676,31549866245,-30.23,68.09,39.96
APA,Apache Corporation,38.3,Energy,4463225,14590102691,-255.33,56.505,35.7
APF,Morgan Stanley Asia-Pacific Fund Inc.,18.76,Financial Services,19105,251950665,0,19.99,14.46
APD,Air Products and Chemicals Inc.,162.91,Basic Materials,1332696,35667401852,25.82,175.17,133.6301
AMRS,Amyris Inc.,5.28,Basic Materials,411170,227217672,-0.86,10.7055,1.86
AMH,American Homes 4 Rent of Beneficial Interest,19.4,Real Estate,2435215,5562724320,18.83,23.98,18.39
AMN,AMN Healthcare Services Inc,56.5,Industrials,502793,2699136815,22.07,57.75,34.705
AMNB,American National Bankshares Inc.,37,Financial Services,9102,319951765,17.96,42.995,33.8
AME,AMETEK Inc.,75.72,Technology,1356099,17500194763,29.01,78.51,52.42
AMG,Affiliated Managers Group Inc.,187.3,Financial Services,452500,10410492680,12.8,216.995,148.81
AMX,America Movil S.A.B. de C.V.n Depository Receipt Series L,18.93,Communication Services,2711292,62522960741,31.55,19.5,12.395
APOP,Cellect Biotechnology Ltd.,7.41,Healthcare,82819,48219752,-11.06,13.5,5.8227
AMP,Ameriprise Financial Inc.,158.76,Financial Services,1250283,23274216000,12.92,183.9,118.84
AMR,Alta Mesa Resources Inc.,8.38,Industrials,3665379,3207647193,0,10.79,7.8
AMT,American Tower Corporation (REIT),139.24,Communication Services,2982356,58892445794,21.55,155.28,108.02
APO,Apollo Global Management LLC Class A Representing Class A Limitied Liability Company Interests,33.6,Financial Services,1192508,13751701018,9.41,37.35,21.39
APLS,Apellis Pharmaceuticals Inc.,14.64,Healthcare,93162,736891985,0,25.49,12.45
APLP,Archrock Partners L.P.,12.38,Energy,240050,868904487,37.52,18.34,10.5822
APLE,Apple Hospitality REIT Inc.,18.16,Real Estate,1447208,4050784854,10.38,20.53,17.49
ANF,Abercrombie & Fitch Company,21.5,Consumer Cyclical,2550218,1464188055,-195.45,23.53,8.81
AMID,American Midstream Partners LP representing Limited Partner Interests,12.2,Energy,159325,643113216,-8.59,17,11.1
ANGO,AngioDynamics Inc.,16.77,Healthcare,264097,616220777,22.66,18.85,14.8
ANH,Anworth Mortgage Asset Corporation,4.77,Real Estate,671345,467987576,11.92,6.35,4.58
ANGI,ANGI Homeservices Inc.,14.6,Technology,785027,6983180000,-39.46,14.6,5.22
ANW,Aegean Marine Petroleum Network Inc.,4.45,Energy,233172,180849878,7.3,13,3.2
AON,Aon plc Class A (UK),140.72,Financial Services,1462096,35165606033,21.52,152.78,114.92
